,weight,norm weight,center of gravity,norm CenterOfGravity,"axial moments (h, v)",norm axial moments
А,19.0,0.19191919191919193,"(4.105263157894737, 7.578947368421052)","(0.38815789473684215, 0.6578947368421052)","(120.63157894736845, 83.78947368421052)","(0.5901132852729146, 0.40988671472708543)"
Б,26.0,0.33766233766233766,"(2.423076923076923, 6.076923076923077)","(0.23717948717948714, 0.5076923076923077)","(235.84615384615375, 72.34615384615384)","(0.765256458255335, 0.23474354174466494)"
В,35.0,0.3977272727272727,"(3.1714285714285713, 6.0)","(0.31020408163265306, 0.5)","(286.0, 142.97142857142856)","(0.6667110696683096, 0.33328893033169044)"
Г,18.0,0.2337662337662338,"(1.8888888888888888, 5.333333333333333)","(0.14814814814814814, 0.4333333333333333)","(195.99999999999997, 47.77777777777781)","(0.8040109389243391, 0.19598906107566103)"
Д,24.0,0.23076923076923078,"(4.375, 6.583333333333333)","(0.48214285714285715, 0.46527777777777773)","(309.8333333333333, 121.625)","(0.7181071945919846, 0.2818928054080155)"
Е,31.0,0.3522727272727273,"(2.4193548387096775, 6.225806451612903)","(0.20276497695852536, 0.5225806451612903)","(271.4193548387095, 85.54838709677419)","(0.7603470088559551, 0.23965299114404492)"
Ё,33.0,0.375,"(2.4545454545454546, 5.848484848484849)","(0.2077922077922078, 0.48484848484848486)","(344.2424242424243, 88.18181818181819)","(0.7960756832515767, 0.20392431674842323)"
Ж,35.0,0.2892561983471074,"(4.942857142857143, 6.4)","(0.3942857142857143, 0.54)","(298.40000000000003, 231.88571428571422)","(0.5627155172413795, 0.4372844827586206)"
З,14.0,0.21212121212121213,"(3.0, 6.214285714285714)","(0.4, 0.5214285714285715)","(108.35714285714285, 16.0)","(0.871338311315336, 0.128661688684664)"
И,33.0,0.3333333333333333,"(3.4242424242424243, 6.121212121212121)","(0.30303030303030304, 0.5121212121212121)","(297.51515151515156, 178.0606060606061)","(0.6255893972218682, 0.3744106027781318)"
Й,36.0,0.36363636363636365,"(3.4722222222222223, 5.611111111111111)","(0.3090277777777778, 0.4611111111111111)","(400.55555555555566, 180.97222222222226)","(0.6887986625268688, 0.3112013374731311)"
К,25.0,0.2840909090909091,"(2.52, 6.16)","(0.21714285714285714, 0.516)","(215.35999999999999, 84.24)","(0.7188251001335114, 0.2811748998664887)"
Л,22.0,0.25,"(4.363636363636363, 6.136363636363637)","(0.48051948051948046, 0.5136363636363637)","(246.590909090909, 107.09090909090907)","(0.697211155378486, 0.30278884462151395)"
М,37.0,0.3057851239669422,"(4.27027027027027, 6.216216216216216)","(0.327027027027027, 0.5216216216216216)","(276.27027027027026, 347.2972972972972)","(0.44304785020804444, 0.5569521497919555)"
Н,32.0,0.3232323232323232,"(3.46875, 6.0)","(0.30859375, 0.5)","(280.0, 175.96875)","(0.6140771708587486, 0.3859228291412515)"
О,26.0,0.2626262626262626,"(3.6923076923076925, 6.153846153846154)","(0.33653846153846156, 0.5153846153846154)","(193.38461538461542, 153.53846153846158)","(0.5574279379157427, 0.4425720620842572)"
П,29.0,0.29292929292929293,"(3.4827586206896552, 5.862068965517241)","(0.3103448275862069, 0.4862068965517241)","(295.4482758620689, 171.24137931034477)","(0.6330722624501256, 0.36692773754987434)"
Р,25.0,0.3246753246753247,"(2.28, 5.32)","(0.2133333333333333, 0.43200000000000005)","(193.44000000000005, 61.03999999999999)","(0.7601383212826156, 0.2398616787173844)"
С,19.0,0.2159090909090909,"(2.5789473684210527, 6.2105263157894735)","(0.2255639097744361, 0.5210526315789473)","(175.15789473684205, 64.63157894736842)","(0.7304653204565408, 0.2695346795434593)"
Т,18.0,0.20454545454545456,"(3.1666666666666665, 4.944444444444445)","(0.3095238095238095, 0.3944444444444445)","(176.94444444444443, 38.50000000000001)","(0.8212996389891697, 0.17870036101083037)"
У,18.0,0.18181818181818182,"(3.388888888888889, 4.888888888888889)","(0.2986111111111111, 0.38888888888888895)","(139.7777777777778, 68.27777777777777)","(0.6718291054739653, 0.32817089452603465)"
Ф,31.0,0.2818181818181818,"(4.483870967741935, 6.0)","(0.3870967741935483, 0.5)","(170.0, 127.74193548387096)","(0.570964247020585, 0.42903575297941493)"
Х,25.0,0.25252525252525254,"(3.64, 6.08)","(0.33, 0.508)","(267.84000000000003, 131.75999999999996)","(0.6702702702702703, 0.32972972972972964)"
Ц,30.0,0.25641025641025644,"(3.433333333333333, 6.266666666666667)","(0.30416666666666664, 0.4388888888888889)","(311.8666666666667, 173.36666666666665)","(0.6427148450917084, 0.3572851549082915)"
Ч,24.0,0.2424242424242424,"(3.7916666666666665, 5.333333333333333)","(0.3489583333333333, 0.4333333333333333)","(209.3333333333333, 103.95833333333331)","(0.6681739593030988, 0.33182604069690114)"
Ш,50.0,0.37878787878787884,"(5.46, 6.3)","(0.40545454545454546, 0.53)","(452.5, 570.42)","(0.4423610839557346, 0.5576389160442654)"
Щ,51.0,0.3269230769230769,"(5.568627450980392, 6.392156862745098)","(0.4153297682709447, 0.4493464052287582)","(474.1568627450978, 600.5098039215685)","(0.4412129616114435, 0.5587870383885565)"
Ъ,25.0,0.25252525252525254,"(3.96, 6.4)","(0.37, 0.54)","(208.00000000000003, 86.95999999999998)","(0.7051803634391104, 0.2948196365608895)"
Ы,36.0,0.2975206611570248,"(4.25, 6.361111111111111)","(0.325, 0.5361111111111111)","(314.3055555555557, 344.75)","(0.47690297563854017, 0.5230970243614599)"
Ь,23.0,0.2987012987012987,"(2.130434782608696, 6.565217391304348)","(0.1884057971014493, 0.5565217391304348)","(187.65217391304347, 54.60869565217392)","(0.7745872218234028, 0.22541277817659733)"
Э,18.0,0.20454545454545456,"(4.0, 6.0)","(0.42857142857142855, 0.5)","(142.0, 52.0)","(0.7319587628865979, 0.26804123711340205)"
Ю,50.0,0.37878787878787884,"(5.36, 5.96)","(0.3963636363636364, 0.496)","(391.91999999999996, 619.5199999999999)","(0.3874871470378866, 0.6125128529621134)"
Я,28.0,0.2828282828282828,"(4.214285714285714, 6.214285714285714)","(0.4017857142857143, 0.5214285714285715)","(234.71428571428578, 104.71428571428571)","(0.6914983164983165, 0.30850168350168344)"
