,weight,norm weight,center of gravity,norm CenterOfGravity,"axial moments (h, v)",norm axial moments
Т,427.0,0.1675824175824176,"(24.306791569086652, 28.543325526932083)","(0.4569959131193461, 0.5738192818110851)","(61307.94847775152, 79784.81030444965)","(0.4345222887900999, 0.5654777112099002)"
У,358.0,0.14954051796157058,"(17.455307262569832, 36.47486033519553)","(0.4013489576236544, 0.6334796488427773)","(58767.27374301687, 33046.784916201104)","(0.640068357735286, 0.3599316422647139)"
Ф,414.0,0.13948787061994608,"(26.567632850241544, 31.8768115942029)","(0.4916852471200297, 0.5613965744400528)","(44012.71739130431, 65179.60628019333)","(0.4030751971513626, 0.5969248028486374)"
Х,267.0,0.1335,"(15.857677902621722, 31.284644194756556)","(0.38096610006722365, 0.6180539631582971)","(33874.367041198544, 27354.591760299605)","(0.5532409452040152, 0.44675905479598477)"
Ц,333.0,0.12613636363636363,"(22.2012012012012, 35.066066066066064)","(0.4930511907256093, 0.5773909502723061)","(47786.54654654657, 48615.51951951949)","(0.49570043979967804, 0.5042995602003219)"
Ч,259.0,0.12012987012987014,"(19.667953667953668, 27.888030888030887)","(0.43413845739427137, 0.5601673101673101)","(21247.75289575288, 37973.44401544402)","(0.3587862793049288, 0.6412137206950711)"
Ш,327.0,0.10592808551992226,"(24.850152905198776, 32.72782874617737)","(0.3846798855677222, 0.6609964322120286)","(33324.776758409775, 92355.65749235469)","(0.2651548505308182, 0.7348451494691818)"
Щ,399.0,0.10555555555555556,"(29.86967418546366, 35.606516290726816)","(0.4656399062171558, 0.586551123571641)","(53163.22305764402, 139203.22305764412)","(0.2763643251265478, 0.7236356748734523)"
Ъ,253.0,0.15333333333333335,"(15.41501976284585, 32.15415019762846)","(0.4504693675889328, 0.6357989836250706)","(26546.98814229248, 16261.422924901184)","(0.6201348632310446, 0.3798651367689554)"
Ы,261.0,0.1213953488372093,"(19.99616858237548, 33.45977011494253)","(0.45228972815179713, 0.6624442880600516)","(25652.82758620688, 29732.99616858237)","(0.4631659483802236, 0.5368340516197764)"
Ь,194.0,0.12516129032258064,"(14.97938144329897, 32.71134020618557)","(0.465979381443299, 0.6471702082895013)","(21213.835051546386, 10155.917525773191)","(0.67625127100569, 0.32374872899430995)"
Э,246.0,0.13211600429645542,"(19.70731707317073, 29.508130081300813)","(0.5056031641397495, 0.5939193766937669)","(26251.483739837335, 18392.92682926829)","(0.5880127748400295, 0.4119872251599706)"
Ю,534.0,0.15478260869565216,"(32.19101123595506, 30.89325842696629)","(0.45869134170522147, 0.6100664985095161)","(62816.9157303371, 210554.516853933)","(0.22978595508867966, 0.7702140449113204)"
Я,341.0,0.13689281413087112,"(22.98240469208211, 32.313782991202345)","(0.4778783628713502, 0.6021881344461989)","(43221.42521994139, 54293.89442815244)","(0.44322702705498696, 0.5567729729450129)"
