,weight,norm weight,center of gravity,norm CenterOfGravity,"axial moments (h, v)",norm axial moments
А,230.0,0.11954261954261954,"(15.382608695652173, 34.48695652173913)","(0.39951690821256036, 0.6566069906223359)","(17479.460869565242, 15820.330434782605)","(0.5249120245171929, 0.4750879754828072)"
Б,323.0,0.15694849368318756,"(19.526315789473685, 29.678018575851393)","(0.45186136071887034, 0.5974587203302374)","(42302.51393188857, 36890.52631578945)","(0.5341695911608709, 0.46583040883912896)"
В,333.0,0.15804461319411486,"(19.23123123123123, 29.663663663663662)","(0.43407693407693404, 0.5971596596596597)","(39940.33033033032, 29993.195195195214)","(0.5711185018943771, 0.428881498105623)"
Г,287.0,0.1626984126984127,"(14.763066202090592, 29.78397212543554)","(0.393230462916874, 0.5996660859465738)","(36618.606271777026, 24697.888501742167)","(0.5972064516576302, 0.40279354834236974)"
Д,306.0,0.12009419152276296,"(21.30065359477124, 30.937908496732025)","(0.42293028322440085, 0.5870178136614123)","(42243.82026143791, 42688.33986928108)","(0.49738309017950916, 0.5026169098204909)"
Е,256.0,0.1219047619047619,"(18.67578125, 28.92578125)","(0.4311166158536585, 0.5699139030612245)","(37023.58984375, 25600.08984375)","(0.591207511735215, 0.40879248826478504)"
Ё,304.0,0.14476190476190476,"(19.082236842105264, 25.60855263157895)","(0.4410301668806162, 0.5022153598281418)","(55068.41776315785, 26828.944078947385)","(0.6724077128311838, 0.32759228716881617)"
Ж,470.0,0.1593220338983051,"(26.357446808510637, 31.08723404255319)","(0.43719735876742477, 0.6140251845419019)","(47501.42340425526, 117143.94893617032)","(0.28850749176259827, 0.7114925082374016)"
З,319.0,0.16692830978545262,"(18.705329153605014, 28.307210031347964)","(0.465929714568553, 0.5689002089864159)","(34025.893416927895, 28360.300940438894)","(0.545407421744904, 0.4545925782550961)"
И,246.0,0.11675367821547224,"(16.71951219512195, 31.58130081300813)","(0.37427409988385596, 0.6371104336043361)","(27303.873983739806, 25773.64634146343)","(0.5144150257293554, 0.4855849742706446)"
Й,264.0,0.125296630280019,"(17.28787878787879, 30.428030303030305)","(0.3878066378066378, 0.6130839646464646)","(32120.6325757576, 27052.121212121234)","(0.5428280842041411, 0.4571719157958589)"
К,359.0,0.12784900284900286,"(20.579387186629525, 32.11142061281337)","(0.3839095526790103, 0.5870079360908182)","(47561.543175487386, 58813.487465181046)","(0.4471119104646729, 0.552888089535327)"
Л,215.0,0.11174636174636174,"(14.981395348837209, 34.32093023255814)","(0.3883720930232558, 0.6533515731874145)","(17510.855813953483, 14991.925581395353)","(0.5387494565760238, 0.46125054342397614)"
М,334.0,0.1260377358490566,"(21.09880239520958, 33.80538922155689)","(0.4101796407185629, 0.6308728696453247)","(30798.350299401216, 52945.73952095811)","(0.36776744920706894, 0.6322325507929311)"
Н,363.0,0.16104702750665484,"(20.63085399449036, 31.088154269972453)","(0.43624119987756355, 0.6268365472910927)","(38041.17906336091, 55074.53443526168)","(0.4085366221666082, 0.5914633778333919)"
О,281.0,0.13654033041788144,"(17.629893238434164, 30.83629893238434)","(0.40560715215693083, 0.6215895610913404)","(33576.46975088967, 36939.508896797146)","(0.47615406316127334, 0.5238459368387266)"
П,383.0,0.1563265306122449,"(22.232375979112273, 28.4621409921671)","(0.4333137954920872, 0.5721279373368146)","(56221.20104438629, 63682.318537859006)","(0.4688869954799162, 0.5311130045200838)"
Р,178.0,0.09468085106382979,"(17.792134831460675, 25.151685393258425)","(0.43056755978104294, 0.5250366389838789)","(15250.904494382028, 17099.308988764038)","(0.47143134008458715, 0.5285686599154129)"
С,279.0,0.15388858246001103,"(18.85663082437276, 29.530465949820787)","(0.4960175228992434, 0.594384707287933)","(32251.49103942657, 25022.265232974914)","(0.5631111548897588, 0.4368888451102411)"
